codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
10	ultra-frais laitier	2	yaourts et assimilés	19760	spécialité laitière type yaourt 0% aux fruits sucrée type sveltesse aux fruits p	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19765	spécialité laitière type yaourt 0% aux fruits aux édulcorants type panier de yop	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19771	yaourt à boire aromatisé au lait demi-écrémé sucré type yopi	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19772	yaourt à boire au lait demi-écrémé aux édulcorants	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19773	yaourt à boire aux fruits au lait demi-écrémé sucré type danone velouté ou fruix	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19780	lait fermenté à boire au bifidus et aux fruits genre yaourt à boire	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19800	lait fermenté au bifidus nature au lait entier type danone activa	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19801	lait fermenté à boire maigre nature type lait ribot ou lactéor l'ben	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19850	spécialité laitière nature à base de fromage blanc enrichie en crème type fjord	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19851	spécialité laitière aux fruits à base de fromage blanc enrichie en crème type ge	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19855	spécialité laitière type yaourt 0% aux céréales aux édulcorants type panier mues	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19880	yaourt nature au lait de chèvre demi-écrémé	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	81071	yaourt ajouté au service	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	90057	yaourt bulgare ou velouté à la pulpe de fruits au lait entier	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	92036	autre yaourt ou spécialité laitière nature ou aux fruit	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	3	fromage blanc et petits suisses	19501	fromage blanc sans précision	ultra fresh dairy	fromage blanc	103
10	ultra-frais laitier	3	fromage blanc et petits suisses	19502	fromage blanc sucré aromatisé ou aux fruits sans précision	ultra fresh dairy	fromage blanc	103
10	ultra-frais laitier	3	fromage blanc et petits suisses	19505	fromage blanc battu nature 0% m.g.	ultra fresh dairy	fromage blanc	103
